"","Cluster","direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","down","down","mmu05415","Diabetic cardiomyopathy","41/680","211/8943",1.58932410261426e-08,4.95869120015648e-06,4.11551293940112e-06,"17708/21809/17711/29857/17721/14584/17719/66142/18127/54405/66052/19094/11596/11421/108058/22272/13057/17722/66091/12842/17717/18797/17972/66377/12825/21954/11739/68198/12843/18753/12864/17970/21808/11951/66416/12867/11957/17716/100041273/66594/67126",41
"2","down","down","mmu03040","Spliceosome","30/680","134/8943",5.30785208310666e-08,6.95311652132082e-06,5.77080521000311e-06,"57905/225027/20639/20383/20382/72047/233908/20462/20826/100042165/231889/15382/68592/17149/66055/19655/66373/225160/67332/20641/53817/66618/66921/101214/68479/20384/66810/14105/56031/67996",30
"3","down","down","mmu04610","Complement and coagulation cascades","24/680","93/8943",6.68568896280848e-08,6.95311652132082e-06,5.77080521000311e-06,"69379/20703/22370/74145/14068/16621/58992/14066/20702/17221/16409/20700/14071/230558/110382/50908/12273/12263/333883/22371/14061/20701/12279/20704",24
"4","down","down","mmu00190","Oxidative phosphorylation","29/680","135/8943",2.28563357485051e-07,1.7827941883834e-05,1.47964699845586e-05,"17708/17711/114143/27060/66290/17721/17719/66142/54405/66052/27425/22272/17722/66091/17717/66377/68198/12864/11951/11972/66416/12867/54411/66237/11957/17716/100041273/66594/67126",29
"5","down","down","mmu05171","Coronavirus disease - COVID-19","42/680","247/8943",5.27556544739744e-07,3.291952839176e-05,2.7321875790732e-05,"69379/29857/68028/74145/20344/67427/20296/17392/19896/19094/19934/27176/230558/67248/110382/50908/11421/12273/12263/12985/67115/100040298/66489/225215/269261/15974/22371/14061/100502825/67097/22121/16898/16179/68052/14109/16176/270106/20042/66483/12279/72512/14281",42
"6","down","down","mmu04933","AGE-RAGE signaling pathway in diabetic complications","23/680","101/8943",1.39784187407201e-06,7.26877774517443e-05,6.03279124599497e-05,"21809/29857/12043/14066/20296/13614/18127/12827/19094/12826/11596/22341/12842/18797/12825/12843/18753/18176/13653/21808/12576/16176/22339",23
"7","down","down","mmu04151","PI3K-Akt signaling pathway","53/680","359/8943",1.76182306358545e-06,7.85269708340944e-05,6.51742065627099e-05,"21923/21825/12977/16404/13874/66066/22370/12043/11911/16402/16000/18127/12827/16197/12826/14184/18413/17210/263803/14696/20750/11839/12566/22341/14103/18591/12985/19744/21827/12842/18048/18596/100503710/14173/14182/12986/18414/12843/320207/15974/14255/22371/18176/16779/13836/58988/12576/12824/26427/14706/22339/23928/14693",53
"8","down","down","mmu04512","ECM-receptor interaction","20/680","88/8943",6.99586407438714e-06,0.000272838698901098,0.000226445073986742,"21923/21825/14729/16404/22370/16402/12827/64051/12826/20750/20971/21827/12842/12843/22371/16779/11603/12824/12505/23928",20
"9","down","down","mmu05020","Prion disease","41/680","268/8943",1.12404906973586e-05,0.000389670344175099,0.000323410609538037,"69379/17708/17711/29857/11911/17721/17719/66142/22142/54405/66052/19094/230558/110382/13198/22272/13057/17722/66091/17717/17972/66377/11739/68198/18753/12864/13653/17970/11951/12288/66416/12867/16176/11957/26427/17716/100041273/12279/66594/14360/67126",41
"10","down","down","mmu05323","Rheumatoid arthritis","19/680","87/8943",2.16703467383287e-05,0.000676114818235855,0.000561147926066195,"12977/21809/114143/27060/66290/16173/20296/17392/330122/20310/13038/16156/21808/11972/16176/54411/66237/22339/14281",19
"11","down","down","mmu04060","Cytokine-cytokine receptor interaction","42/680","292/8943",4.0080424970996e-05,0.00113682659917734,0.000943520051948806,"56744/12977/20308/21809/16178/16323/12768/20306/16173/20296/11705/57349/21944/16180/16197/330122/16157/18413/20310/16174/20305/14103/12985/16156/18048/12765/12767/12986/18414/16172/15974/12772/21940/66102/240873/21808/16176/12983/22163/12982/320100/16153",42
"12","down","down","mmu05146","Amoebiasis","21/680","107/8943",4.48495757069952e-05,0.00116608896838187,0.000967806633677264,"69379/21809/16178/16409/12827/14680/330122/12826/230558/110382/20310/12842/18797/12825/12843/16779/21808/16176/12279/16153/23928",21
"13","down","down","mmu05208","Chemical carcinogenesis - reactive oxygen species","34/680","222/8943",6.148740643651e-05,0.00147569775447624,0.00122476939136692,"17708/17711/29857/17721/17719/66142/54405/66052/19094/18806/22272/13057/17722/66091/17717/20656/66377/11739/68198/18753/12864/18176/17970/11951/66416/12867/11957/22339/71932/17716/100041273/66594/67126/14281",34
"14","down","down","mmu04926","Relaxin signaling pathway","23/680","129/8943",9.51935082300316e-05,0.00208994794297416,0.00173457217939151,"11475/29857/66066/11911/13614/18127/12827/19094/12826/14696/22341/12842/100503710/18797/216869/12825/12843/18176/26427/14706/22339/14281/14693",23
"15","down","down","mmu04010","MAPK signaling pathway","41/680","294/8943",0.000100478266489142,0.00208994794297416,0.00173457217939151,"12977/21809/13874/29857/11911/16000/16180/192176/233046/240672/19094/56692/14184/13198/11839/22341/14103/18591/20130/19698/18048/18596/100503710/14173/26412/216869/14182/30957/78390/14255/18176/13836/12286/21808/12288/16179/26404/16176/12293/22339/14281",41
"16","down","down","mmu04714","Thermogenesis","33/680","231/8943",0.000301754046178134,0.00588420390047362,0.00488365101051455,"108097/17708/17711/29857/17721/17719/66142/54405/66052/27425/19094/231430/22272/19744/17722/66091/17717/66377/14182/68198/12864/18176/83796/11951/58988/66416/12867/11957/26427/17716/100041273/66594/67126",33
"17","down","down","mmu04640","Hematopoietic cell lineage","17/680","94/8943",0.000638347958596012,0.0117155625342327,0.00972344258914049,"12977/14729/16178/16402/16409/12489/16197/16157/12985/12494/333883/16156/12986/14255/16176/12505/12982",17
"18","down","down","mmu04668","TNF signaling pathway","19/680","113/8943",0.000804090700874107,0.0139375721484845,0.0115676206090661,"11797/12977/29857/11911/16477/20296/13614/17392/19094/330122/20310/16449/22341/12702/56532/12051/16176/26427/14281",19
"19","down","down","mmu05417","Lipid and atherosclerosis","30/680","216/8943",0.000897379463334877,0.0147359153979201,0.0122302131845086,"29857/12043/11911/16173/20344/20296/18127/17392/66824/19094/330122/16801/13198/20310/11596/108058/14103/13057/18797/20656/17972/15974/18176/17970/16179/13109/16176/74519/17087/14281",30
"20","down","down","mmu04974","Protein digestion and absorption","18/680","108/8943",0.00121432282122541,0.0178034866372838,0.0147761731200128,"12827/107581/73368/16534/12831/110891/12826/12837/12842/12825/12843/13717/12832/12836/11933/12819/12824/12815",18
"21","down","down","mmu05410","Hypertrophic cardiomyopathy","16/680","91/8943",0.00124881213747042,0.0178034866372838,0.0147761731200128,"108097/21809/16404/16402/16000/13614/13346/21956/22004/110891/326618/11421/21954/21808/12288/12293",16
"22","down","down","mmu04510","Focal adhesion","28/680","201/8943",0.00125537405775719,0.0178034866372838,0.0147761731200128,"21923/98932/11797/21825/16404/22370/12043/16402/16000/12827/192176/232807/12826/67268/20750/22341/18591/21827/12842/18596/12843/22371/16779/18720/12824/22339/14360/23928",28
"23","down","down","mmu05016","Huntington disease","38/680","302/8943",0.00135949321117034,0.0184418209515281,0.0153059647573411,"237336/56208/17708/17711/17721/15114/17719/13385/66142/22142/54405/66052/21374/69590/22272/74781/17722/66091/17717/18797/20656/66377/11739/68198/12864/20020/245841/11951/66416/433759/100504663/12867/11957/26427/17716/100041273/66594/67126",38
"24","down","down","mmu04371","Apelin signaling pathway","21/680","137/8943",0.00150067812127693,0.0194924789215353,0.0161779683356872,"11475/108097/56208/66066/14219/18127/110891/14696/18131/20750/16449/20130/100503710/18797/16598/320207/18176/13653/58988/14706/14693",21
"25","down","down","mmu04932","Non-alcoholic fatty liver disease","23/680","156/8943",0.001561897349482,0.0194924789215353,0.0161779683356872,"108097/17708/17711/29857/11911/66142/54405/66052/19094/13198/22272/14103/66091/66377/68198/12702/12864/66416/12867/16176/100041273/66594/14281",23
"26","down","down","mmu04723","Retrograde endocannabinoid signaling","22/680","148/8943",0.00175882609281129,0.0211059131137355,0.017517053393991,"29857/66066/17721/17719/54405/19094/14404/14696/17722/66091/17717/100503710/18797/66377/68198/12286/12288/66416/14706/17716/100041273/14693",22
"27","down","down","mmu04725","Cholinergic synapse","18/680","112/8943",0.0018580967213868,0.0214713398915808,0.0178203428249962,"66066/12043/11911/14696/108058/211480/100503710/18797/11444/320207/18176/12286/12288/26427/14706/14360/14281/14693",18
"28","down","down","mmu04061","Viral protein interaction with cytokine and cytokine receptor","16/680","95/8943",0.00199114636919174,0.0217490733473781,0.0180508503490385,"56744/12977/20308/12768/20306/16173/20296/57349/330122/20310/16174/20305/12765/12767/12772/16153",16
"29","down","down","mmu04726","Serotonergic synapse","20/680","131/8943",0.00202154848421143,0.0217490733473781,0.0180508503490385,"226143/404195/66066/107141/71754/14696/110877/100503710/18797/78390/18176/12286/12288/15558/13109/216343/13096/74519/14706/14693",20
"30","down","down","mmu04260","Cardiac muscle contraction","15/680","87/8943",0.00214445074481376,0.0223022877460631,0.018509995902603,"17708/17711/66142/21956/22004/110891/326618/22272/21954/12864/11933/12288/12867/12293/66594",15
"31","down","down","mmu05144","Malaria","11/680","57/8943",0.00331317220063863,0.0333454750515888,0.0276753942735859,"21825/21809/16173/20344/20296/12985/21827/21808/16176/16153/80782",11
"32","down","down","mmu03010","Ribosome","24/680","179/8943",0.00447793660044167,0.0427169394510112,0.0354533303135923,"67707/68028/66845/75398/67427/19896/19934/27176/67248/67115/100040298/66489/225215/68735/269261/100502825/67097/22121/16898/68052/14109/270106/20042/66483",24
"33","down","down","mmu04625","C-type lectin receptor signaling pathway","17/680","112/8943",0.00451813782654926,0.0427169394510112,0.0354533303135923,"29857/17474/66824/19094/332579/12042/56619/14127/20130/19698/56620/18753/18176/12051/16176/16985/16153",17
"34","down","down","mmu05133","Pertussis","13/680","77/8943",0.00497854142167877,0.044279824292511,0.0367504614573472,"29857/16402/16409/66824/19094/50908/12631/12263/16179/16176/17087/16153/14281",13
"35","down","down","mmu03022","Basal transcription factors","9/680","44/8943",0.00510897496390526,0.044279824292511,0.0367504614573472,"99730/237336/24074/21374/66464/235459/98053/74469/70439",9
"36","down","down","mmu04621","NOD-like receptor signaling pathway","27/680","211/8943",0.00510921049528973,0.044279824292511,0.0367504614573472,"11797/29857/12043/16173/20296/66824/19200/19094/330122/332579/20310/13057/18797/18753/12363/15974/637515/17952/56532/106025/56486/54483/17951/16176/216877/77040/72512",27
"37","up","up","mmu04931","Insulin resistance","22/531","110/8943",3.78478896605897e-07,7.49854108986195e-05,6.27868273074565e-05,"16337/105787/26569/110078/19013/20111/18762/140491/56637/12894/14583/20525/56717/18709/208677/170826/208647/67071/19268/20112/108079/19079",22
"38","up","up","mmu04530","Tight junction","28/531","167/8943",4.86918252588438e-07,7.49854108986195e-05,6.27868273074565e-05,"12695/21873/14924/68188/218518/26408/105787/102098/73699/17356/27494/56217/68178/18762/72058/76089/12737/12738/17999/18260/93742/18747/19684/71978/60595/108079/217325/19079",28
"39","up","up","mmu04120","Ubiquitin mediated proteolysis","25/531","147/8943",1.52949023841386e-06,0.000157027664477157,0.000131482494179437,"231672/14897/56317/73998/69288/12189/80794/22200/56791/140629/17999/66515/71745/67345/67455/140630/69807/12211/217342/12234/13194/242521/70790/63958/17222",25
"40","up","up","mmu04520","Adherens junction","15/531","71/8943",1.36389703897097e-05,0.00105020072000765,0.000879354669862861,"16337/58235/12385/12550/380928/17356/12914/17295/227377/21813/93742/20411/60595/19294/19268",15
"41","up","up","mmu04976","Bile secretion","18/531","100/8943",2.01994731074187e-05,0.00124428754341699,0.00104186756027739,"230161/16835/18671/12780/18670/18669/28254/11515/54403/20525/18747/11514/20181/12349/20778/76408/320024/67470",18
"42","up","up","mmu01200","Carbon metabolism","20/531","121/8943",2.62001057956461e-05,0.0013449387641765,0.00112614489823391,"104174/100198/12974/108682/18641/14120/110639/18293/18563/11429/14719/11428/15926/227231/14661/110446/225913/14194/21881/17448",20
"43","up","up","mmu01212","Fatty acid metabolism","13/531","62/8943",5.54867978227357e-05,0.00244141910420037,0.00204425044610079,"97212/74205/12896/71147/107476/57874/12894/14081/433256/54325/110446/231086/11370",13
"44","up","up","mmu04211","Longevity regulating pathway","16/531","90/8943",6.77255763882805e-05,0.0026074346909488,0.00218325871251694,"16337/105787/22084/11515/56717/18709/208677/18747/11514/208647/68465/12915/74370/75747/108079/19079",16
"45","up","up","mmu01210","2-Oxocarboxylic acid metabolism","7/531","20/8943",9.82960987344245e-05,0.00336391093446697,0.00281667183508,"12974/108682/11429/14719/217214/11428/15926",7
"46","up","up","mmu04922","Glucagon signaling pathway","17/531","104/8943",0.000120416575404297,0.00370883052245234,0.00310548010253186,"105787/12315/110078/18641/12914/19013/110094/107476/14120/12894/16438/20525/208677/18747/208647/108079/19079",17
"47","up","up","mmu04152","AMPK signaling pathway","19/531","126/8943",0.00014877088262429,0.0041476305228971,0.00347289637084685,"16337/105787/73699/15378/22084/18641/107476/14120/16890/12894/56717/18709/208677/208647/68465/74370/71978/108079/19079",19
"48","up","up","mmu04975","Fat digestion and absorption","10/531","43/8943",0.000161595994398588,0.0041476305228971,0.00347289637084685,"17777/26569/238055/50784/69836/14719/11303/20778/110446/67470",10
"49","up","up","mmu04910","Insulin signaling pathway","20/531","139/8943",0.000193381341790838,0.00458165025165985,0.00383631001933241,"16337/105787/22084/12315/110078/110094/107476/14120/18762/16890/140491/56637/56717/18709/18747/20411/74370/19268/108079/19079",20
"50","up","up","mmu04144","Endocytosis","31/531","273/8943",0.000362351793076488,0.00760433264736437,0.00636726417841515,"75767/232227/212285/11772/16835/13196/16004/107338/66251/77038/234353/211914/80794/229285/18762/15042/105513/67300/78618/56324/17999/70160/21813/93742/347722/69091/223593/18571/211673/319277/215445",31
"51","up","up","mmu04142","Lysosome","19/531","135/8943",0.00037034087568333,0.00760433264736437,0.00636726417841515,"11765/16004/14387/16889/15587/20597/110173/11778/18145/67300/18010/15586/17939/15211/114128/20661/104082/18174/211286",19
"52","up","up","mmu00020","Citrate cycle (TCA cycle)","8/531","32/8943",0.000432943344125814,0.0080921745537723,0.00677574424358925,"12974/18293/18563/11429/11428/15926/14194/17448",8
"53","up","up","mmu04216","Ferroptosis","9/531","40/8943",0.000446645998097822,0.0080921745537723,0.00677574424358925,"74244/74205/14792/14081/68428/433256/67547/12870/18174",9
"54","up","up","mmu04979","Cholesterol metabolism","10/531","49/8943",0.000502114817297514,0.00840971606810722,0.00704162828669265,"16835/16889/238055/18145/11303/16971/20661/20778/320024/67470",10
"55","up","up","mmu04141","Protein processing in endoplasmic reticulum","22/531","172/8943",0.000518781186019601,0.00840971606810722,0.00704162828669265,"68292/56709/69608/26408/22393/20338/54609/77371/213539/218811/12333/69162/192193/20334/12304/18415/18786/66861/57377/12915/15516/63958",22
"56","up","up","mmu00071","Fatty acid degradation","10/531","52/8943",0.000823351823946054,0.0126796180887692,0.0106169050982517,"97212/74205/12896/12894/14081/11671/433256/110446/231086/11370",10
"57","up","up","mmu04920","Adipocytokine signaling pathway","12/531","71/8943",0.000868715696942575,0.0127411635551578,0.0106684383835053,"105787/74205/19013/12894/14081/20525/433256/56717/20181/68465/108079/19079",12
"58","up","up","mmu04213","Longevity regulating pathway - multiple species","11/531","62/8943",0.00093185528620567,0.0130459740068794,0.0109236624459516,"16337/105787/11515/56717/18709/18747/11514/20480/74370/108079/19079",11
"59","up","up","mmu04714","Thermogenesis","26/531","231/8943",0.00120734199750917,0.0161678841405576,0.0135377020315674,"26408/105787/74205/22084/239985/12896/20111/69893/20588/16890/11515/12894/14081/433256/56717/83379/208677/18747/11514/208647/74370/67071/277250/20112/108079/19079",26
"60","up","up","mmu04070","Phosphatidylinositol signaling system","14/531","96/8943",0.00150408970102982,0.0193024844965493,0.0161623674014169,"101490/227399/74302/170749/12315/225326/84095/17772/16438/20975/18709/53332/110911/217837",14
"61","up","up","mmu01230","Biosynthesis of amino acids","12/531","79/8943",0.00225629973967246,0.0267812437610212,0.022424486402769,"12974/108682/18641/110639/18563/11429/14719/217214/11428/15926/227231/21881",12
"62","up","up","mmu00630","Glyoxylate and dicarboxylate metabolism","7/531","32/8943",0.00229135225648668,0.0267812437610212,0.022424486402769,"104174/12974/76238/11429/11428/110446/17448",7
"63","up","up","mmu04390","Hippo signaling pathway","19/531","157/8943",0.00234770643359601,0.0267812437610212,0.022424486402769,"12695/12385/12550/73699/27494/56217/18762/211652/11789/56637/12161/16798/21813/93742/22419/12234/71978/12156/217325",19
"64","up","up","mmu00500","Starch and sucrose metabolism","7/531","34/8943",0.00330398950297772,0.0363438845327549,0.0304314822642685,"14387/110078/77559/72157/232714/27357/209558",7
"65","up","up","mmu00620","Pyruvate metabolism","8/531","44/8943",0.00389359894790754,0.0399742825318507,0.0334712892013104,"74156/107476/18563/76238/11671/110446/14194/17448",8
"66","up","up","mmu04962","Vasopressin-regulated water reabsorption","8/531","44/8943",0.00389359894790754,0.0399742825318507,0.0334712892013104,"67665/13191/11515/234663/208677/18747/208647/68097",8
"67","up","up","mmu00061","Fatty acid biosynthesis","5/531","19/8943",0.0041980399429294,0.0417095581426534,0.0349242711720782,"74205/71147/107476/14081/433256",5
"68","up","up","mmu00051","Fructose and mannose metabolism","7/531","36/8943",0.00462635024131616,0.0445286210726681,0.0372847305632388,"29858/319801/18641/14120/75540/110119/225913",7
"69","up","up","mmu00220","Arginine biosynthesis","5/531","20/8943",0.00532858597312411,0.0497334690824916,0.0416428568872538,"108682/14719/217214/227231/14661",5
